id,name,description,extended_description,common_consequences_scope,common_consequences_impact,Clean_Description,Access_Control,Integrity
6,J2EE Misconfiguration: Insufficient Session-ID Length,The J2EE application is configured to use an insufficient session ID length.,"If an attacker can guess or steal a session ID, then they may be able to take over the user's session (called session hijacking). The number of possible session IDs increases with increased session ID length, making it more difficult to guess or steal a session ID.",Access Control,['Gain Privileges or Assume Identity'],j2ee application configured use insufficient session id length,1,0
13,ASP.NET Misconfiguration: Password in Configuration File,Storing a plaintext password in a configuration file allows anyone who can read the file access to the password-protected resource making them an easy target for attackers.,,Access Control,['Gain Privileges or Assume Identity'],storing plaintext password configuration file allows anyone read file access passwordprotected resource making easy target attackers,1,0
42,Path Equivalence: 'filename.' (Trailing Dot),A software system that accepts path input in the form of trailing dot ('filedir.') without appropriate validation can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.,,Access Control,['Bypass Protection Mechanism'],software system accepts path input form trailing dot filedir without appropriate validation lead ambiguous path resolution allow attacker traverse file system unintended locations access arbitrary files,1,0
84,Improper Neutralization of Encoded URI Schemes in a Web Page,The web application improperly neutralizes user-controlled input for executable script disguised with URI encodings.,,Integrity,['Unexpected State'],web application improperly neutralizes usercontrolled input executable script disguised uri encodings,0,1
93,Improper Neutralization of CRLF Sequences ('CRLF Injection'),"The software uses CRLF (carriage return line feeds) as a special element, e.g. to separate lines or records, but it does not neutralize or incorrectly neutralizes CRLF sequences from inputs.",,Integrity,['Modify Application Data'],software uses crlf carriage return line feeds special element separate lines records neutralize incorrectly neutralizes crlf sequences inputs,0,1
102,Struts: Duplicate Validation Forms,"The application uses multiple validation forms with the same name, which might cause the Struts Validator to validate a form that the programmer does not expect.","If two validation forms have the same name, the Struts Validator arbitrarily chooses one of the forms to use for input validation and discards the other. This decision might not correspond to the programmer's expectations, possibly leading to resultant weaknesses. Moreover, it indicates that the validation logic is not up-to-date, and can indicate that other, more subtle validation errors are present.",Integrity,['Unexpected State'],application uses multiple validation forms might cause struts validator validate form programmer expect,0,1
105,Struts: Form Field Without Validator,"The application has a form field that is not validated by a corresponding validation form, which can introduce other weaknesses related to insufficient input validation.","Omitting validation for even a single input field may give attackers the leeway they need to compromise the application. Although J2EE applications are not generally susceptible to memory corruption attacks, if a J2EE application interfaces with native code that does not perform array bounds checking, an attacker may be able to use an input validation mistake in the J2EE application to launch a buffer overflow attack.",Integrity,"['Unexpected State', 'Bypass Protection Mechanism']",application form field validated corresponding validation form introduce weaknesses related insufficient input validation,0,1
106,Struts: Plug-in Framework not in Use,"When an application does not use an input validation framework such as the Struts Validator, there is a greater risk of introducing weaknesses related to insufficient input validation.","
            ",Integrity,['Unexpected State'],application use input validation framework struts validator greater risk introducing weaknesses related insufficient input validation,0,1
109,Struts: Validator Turned Off,"Automatic filtering via a Struts bean has been turned off, which disables the Struts Validator and custom validation logic. This exposes the application to other weaknesses related to insufficient input validation.",,Access Control,['Bypass Protection Mechanism'],automatic filtering via struts bean turned disables struts validator custom validation logic exposes application weaknesses related insufficient input validation,1,0
111,Direct Use of Unsafe JNI,"When a Java application uses the Java Native Interface (JNI) to call code written in another programming language, it can expose the application to weaknesses in that code, even if those weaknesses cannot occur in Java.","Many safety features that programmers may take for granted simply do not apply for native code, so you must carefully review all such code for potential problems. The languages used to implement native code may be more susceptible to buffer overflows and other attacks. Native code is unprotected by the security features enforced by the runtime environment, such as strong typing and array bounds checking.",Access Control,['Bypass Protection Mechanism'],java application uses java native interface jni call code written another programming language expose application weaknesses code even weaknesses occur java,1,0
112,Missing XML Validation,The software accepts XML from an untrusted source but does not validate the XML against the proper schema.,"Most successful attacks begin with a violation of the programmer's assumptions. By accepting an XML document without validating it against a DTD or XML schema, the programmer leaves a door open for attackers to provide unexpected, unreasonable, or malicious input.",Integrity,['Unexpected State'],software accepts xml untrusted source validate xml proper schema,0,1
115,Misinterpretation of Input,"The software misinterprets an input, whether from an attacker or another product, in a security-relevant fashion.",,Integrity,['Unexpected State'],software misinterprets input whether attacker another product securityrelevant fashion,0,1
140,Improper Neutralization of Delimiters,The software does not neutralize or incorrectly neutralizes delimiters.,,Integrity,['Unexpected State'],software neutralize incorrectly neutralizes delimiters,0,1
141,Improper Neutralization of Parameter/Argument Delimiters,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as parameter or argument delimiters when they are sent to a downstream component.","As data is parsed, an injected/absent/malformed delimiter may cause the process to take unexpected actions.",Integrity,['Unexpected State'],software receives input upstream component neutralize incorrectly neutralizes special elements could interpreted parameter argument delimiters sent downstream component,0,1
142,Improper Neutralization of Value Delimiters,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as value delimiters when they are sent to a downstream component.","As data is parsed, an injected/absent/malformed delimiter may cause the process to take unexpected actions.",Integrity,['Unexpected State'],software receives input upstream component neutralize incorrectly neutralizes special elements could interpreted value delimiters sent downstream component,0,1
143,Improper Neutralization of Record Delimiters,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as record delimiters when they are sent to a downstream component.","As data is parsed, an injected/absent/malformed delimiter may cause the process to take unexpected actions.",Integrity,['Unexpected State'],software receives input upstream component neutralize incorrectly neutralizes special elements could interpreted record delimiters sent downstream component,0,1
144,Improper Neutralization of Line Delimiters,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as line delimiters when they are sent to a downstream component.","As data is parsed, an injected/absent/malformed delimiter may cause the process to take unexpected actions.",Integrity,['Unexpected State'],software receives input upstream component neutralize incorrectly neutralizes special elements could interpreted line delimiters sent downstream component,0,1
145,Improper Neutralization of Section Delimiters,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as section delimiters when they are sent to a downstream component.","
            ",Integrity,['Unexpected State'],software receives input upstream component neutralize incorrectly neutralizes special elements could interpreted section delimiters sent downstream component,0,1
147,Improper Neutralization of Input Terminators,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as input terminators when they are sent to a downstream component.","For example, a ""."" in SMTP signifies the end of mail message data, whereas a null character can be used for the end of a string.",Integrity,['Unexpected State'],software receives input upstream component neutralize incorrectly neutralizes special elements could interpreted input terminators sent downstream component,0,1
148,Improper Neutralization of Input Leaders,"The application does not properly handle when a leading character or sequence (""leader"") is missing or malformed, or if multiple leaders are used when only one should be allowed.",,Integrity,['Unexpected State'],application properly handle leading character sequence leader missing malformed multiple leaders used allowed,0,1
149,Improper Neutralization of Quoting Syntax,"Quotes injected into an application can be used to compromise a system. As data are parsed, an injected/absent/duplicate/malformed use of quotes may cause the process to take unexpected actions.",,Integrity,['Unexpected State'],quotes injected application used compromise system data parsed injectedabsentduplicatemalformed use quotes may cause process unexpected actions,0,1
150,"Improper Neutralization of Escape, Meta, or Control Sequences","The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as escape, meta, or control character sequences when they are sent to a downstream component.","As data is parsed, an injected/absent/malformed delimiter may cause the process to take unexpected actions.",Integrity,['Unexpected State'],software receives input upstream component neutralize incorrectly neutralizes special elements could interpreted escape meta control character sequences sent downstream component,0,1
151,Improper Neutralization of Comment Delimiters,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as comment delimiters when they are sent to a downstream component.",,Integrity,['Unexpected State'],software receives input upstream component neutralize incorrectly neutralizes special elements could interpreted comment delimiters sent downstream component,0,1
152,Improper Neutralization of Macro Symbols,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as macro symbols when they are sent to a downstream component.",,Integrity,['Unexpected State'],software receives input upstream component neutralize incorrectly neutralizes special elements could interpreted macro symbols sent downstream component,0,1
